#x-axis 1
#second Volt
-6.690000E+00 -92.302E-03
-6.683000E+00 -65.930E-03
-6.676000E+00 -59.337E-03
-6.669000E+00 -19.779E-03
-6.662000E+00 +26.372E-03
-6.655000E+00 +46.151E-03
-6.648000E+00 +52.744E-03
-6.641000E+00 +40.382E-03
-6.634000E+00 +6.593E-03
-6.627000E+00 -19.779E-03
-6.620000E+00 -23.899E-03
-6.613000E+00 -51.508E-03
-6.606000E+00 -41.618E-03
-6.599000E+00 -20.603E-03
-6.592000E+00 -23.899E-03
-6.585000E+00 +25.136E-03
-6.578000E+00 +52.744E-03
-6.571000E+00 +52.744E-03
-6.564000E+00 +52.744E-03
-6.557000E+00 +33.789E-03
-6.550000E+00 -13.186E-03
-6.543000E+00 -50.683E-03
-6.536000E+00 -65.930E-03
-6.529000E+00 -91.065E-03
-6.522000E+00 -52.744E-03
-6.515000E+00 -26.372E-03
-6.508000E+00 +15.246E-03
-6.501000E+00 +79.116E-03
-6.494000E+00 +89.829E-03
-6.487000E+00 +79.116E-03
-6.480000E+00 +43.678E-03
-6.473000E+00 -25.136E-03
-6.466000E+00 -85.709E-03
-6.459000E+00 -112.080E-03
-6.452000E+00 -120.734E-03
-6.445000E+00 -72.523E-03
-6.438000E+00 -4.121E-03
-6.431000E+00 +40.382E-03
-6.424000E+00 +118.673E-03
-6.417000E+00 +138.452E-03
-6.410000E+00 +105.487E-03
-6.403000E+00 +79.940E-03
-6.396000E+00 +13.186E-03
-6.389000E+00 -59.337E-03
-6.382000E+00 -94.362E-03
-6.375000E+00 -117.437E-03
-6.368000E+00 -98.894E-03
-6.361000E+00 -33.789E-03
-6.354000E+00 +10.714E-03
-6.347000E+00 +58.101E-03
-6.340000E+00 +87.769E-03
-6.333000E+00 +60.161E-03
-6.326000E+00 +17.307E-03
-6.319000E+00 -31.729E-03
-6.312000E+00 -100.955E-03
-6.305000E+00 -112.905E-03
-6.298000E+00 -96.422E-03
-6.291000E+00 -65.930E-03
-6.284000E+00 +19.779E-03
-6.277000E+00 +85.709E-03
-6.270000E+00 +123.206E-03
-6.263000E+00 +145.045E-03
-6.256000E+00 +103.015E-03
